HarvestTime,BikeID,Battery,BikeIdentifier,BikeTypeName,EBikeProfileID,EBikeStateID,IsEBike,IsMotor,IsSmartLock,LastGPSTime,LastRentalStart,Latitude,Longitude,SpikeID
2023-01-01 00:00:06,105,,107,DUB-General,1,1,True,True,False,2022-07-11 13:04:15,2022-07-11 13:03:59,0.0,0.0,107
2023-01-01 00:00:06,107,,112,DUB-General,1,2,True,True,False,2021-05-14 11:19:14,2022-05-19 09:26:07,0.0,0.0,112
2023-01-01 00:00:06,108,,113,DUB-General,1,2,True,True,False,2021-02-22 09:46:40,2022-03-31 11:31:58,0.0,0.0,113
2023-01-01 00:00:06,111,-12,117,DUB-General,1,2,True,True,False,2022-08-23 13:30:15,2022-08-02 17:13:37,53.377,-6.26983,117
2023-01-01 00:00:06,112,,118,DUB-General,1,2,True,True,False,2022-07-11 13:07:09,2022-07-11 13:06:51,0.0,0.0,118
2023-01-01 00:00:06,114,,110,DUB-General,1,2,True,True,False,2022-07-11 15:24:08,2022-07-11 15:14:46,0.0,0.0,110
2023-01-01 00:00:06,117,-12,105,Workshop,1,2,True,True,False,2022-08-26 07:44:46,2022-08-02 20:42:20,53.377,-6.2697,105
2023-01-01 00:00:06,118,,32,DUB-General,1,2,True,True,False,2022-07-07 12:44:15,2022-06-25 09:37:08,53.377,-6.2699,32
2023-01-01 00:00:06,119,,84,DUB-General,1,2,True,True,False,2022-07-28 15:46:01,2022-07-07 12:39:15,53.377,-6.26975,84
2023-01-01 00:00:06,121,,103,DUB-General,1,2,True,True,False,2022-08-04 12:09:50,2022-07-29 12:17:53,0.0,0.0,103
2023-01-01 00:30:03,5,-12,1,DUB-General,4,2,True,True,False,2022-07-12 10:21:13,2022-07-23 10:20:50,0.0,0.0,1
2023-01-01 00:30:03,6,,2,DUB-General,1,2,True,True,False,2022-07-07 13:05:11,2022-07-07 12:40:23,0.0,0.0,2
2023-01-01 00:30:03,9,,5,DUB-General,1,2,True,True,False,2022-07-11 13:01:36,2022-07-11 13:01:18,0.0,0.0,5
2023-01-01 00:30:03,10,,6,DUB-General,1,2,True,True,False,2022-07-13 14:49:40,2022-07-13 14:49:23,0.0,0.0,6
2023-01-01 00:30:03,12,,8,DUB-General,1,2,True,True,False,2022-07-13 14:46:58,2022-07-13 14:46:30,0.0,0.0,8
2023-01-01 00:30:03,14,,11,DUB-General,1,2,True,True,False,2022-07-07 13:04:49,2022-07-07 12:40:33,0.0,0.0,11
2023-01-01 00:30:03,15,,13,DUB-General,1,2,True,True,False,2022-07-11 15:38:34,2022-07-11 15:38:16,0.0,0.0,13
2023-01-01 00:30:03,16,-12,14,DUB-General,1,2,True,True,False,2022-07-07 13:26:44,2022-07-07 12:41:53,0.0,0.0,14
2023-01-01 00:30:03,19,-12,17,DUB-General,1,2,True,True,False,2022-08-10 14:44:18,2022-08-01 12:52:50,53.377,-6.27034,17
2023-01-01 00:30:03,20,,18,DUB-General,1,2,True,True,False,2022-08-23 22:40:03,2022-08-21 10:42:06,53.3769,-6.26987,18
2023-01-01 00:30:03,21,,19,DUB-General,1,2,True,True,False,2022-06-27 16:06:56,2022-06-27 16:06:42,0.0,0.0,19
2023-01-01 00:30:03,26,,25,DUB-General,1,2,True,True,False,2022-08-04 12:09:40,2022-07-29 12:04:30,0.0,0.0,25
